iter	RMSE
0	53.07151215
1	46.25044877
2	43.5639628
3	42.00083029
4	41.2082785
5	40.62931369
6	40.18757653
7	39.94644704
8	39.79830573
9	39.54984454
10	39.38632262
11	39.20435161
12	39.12103227
13	39.02267416
14	38.95560285
15	38.8435338
16	38.71337578
17	38.62771023
18	38.5146525
19	38.42077861
20	38.37085339
21	38.29353388
22	38.21776839
23	38.15883135
24	38.09138209
25	37.9962531
26	37.92201022
27	37.8483622
28	37.79812372
29	37.71138897
30	37.68192697
31	37.63209526
32	37.58904144
33	37.5549556
34	37.51585384
35	37.48019407
36	37.41901325
37	37.36882356
38	37.32298036
39	37.25924226
40	37.18010242
41	37.14553363
42	37.09437161
43	37.04745781
44	37.01932509
45	36.9660111
46	36.91606839
47	36.85973493
48	36.81782736
49	36.78080819
50	36.72329421
51	36.68659402
52	36.63998089
53	36.57273435
54	36.52554483
55	36.47998613
56	36.45713274
57	36.41888914
58	36.39080943
59	36.35478831
60	36.33029231
61	36.26901052
62	36.22631158
63	36.19023917
64	36.13661641
65	36.12136972
66	36.07389446
67	36.04187431
68	36.00936654
69	35.98414893
70	35.93905231
71	35.89309971
72	35.85954643
73	35.83554169
74	35.81315594
75	35.77940025
76	35.74618185
77	35.71615164
78	35.68660811
79	35.6469103
80	35.61823346
81	35.5824913
82	35.54853366
83	35.52400619
84	35.4913327
85	35.47021937
86	35.4486211
87	35.40326241
88	35.37459625
89	35.3520409
90	35.31138279
91	35.28292508
92	35.24256644
93	35.21348891
94	35.15662675
95	35.13488381
96	35.11241215
97	35.08276214
98	35.05397248
99	35.0214748
