iter	Passed	Remaining
0	96	9545
1	106	5200
2	113	3674
3	122	2934
4	131	2491
5	137	2148
6	145	1935
7	153	1769
8	161	1636
9	176	1592
10	186	1512
11	202	1482
12	213	1428
13	221	1359
14	227	1286
15	232	1221
16	239	1170
17	246	1123
18	252	1076
19	261	1046
20	267	1005
21	272	966
22	277	927
23	281	891
24	287	862
25	294	837
26	300	811
27	305	786
28	315	771
29	321	751
30	327	728
31	333	709
32	339	688
33	344	669
34	349	648
35	353	628
36	357	609
37	362	590
38	366	573
39	371	556
40	375	540
41	380	525
42	385	511
43	391	498
44	395	483
45	400	470
46	407	459
47	412	446
48	417	434
49	422	422
50	428	411
51	435	401
52	442	392
53	449	382
54	455	372
55	461	362
56	467	352
57	473	342
58	480	333
59	486	324
60	493	315
61	500	306
62	506	297
63	512	288
64	520	280
65	526	271
66	532	262
67	539	253
68	544	244
69	550	235
70	556	227
71	562	218
72	568	210
73	574	202
74	579	193
75	583	184
76	588	175
77	593	167
78	599	159
79	604	151
80	610	143
81	615	135
82	620	127
83	624	118
84	629	111
85	634	103
86	641	95
87	647	88
88	654	80
89	659	73
90	666	65
91	675	58
92	680	51
93	684	43
94	689	36
95	694	28
96	700	21
97	705	14
98	710	7
99	716	0
